t1      ,ch1     ,t2      ,ch2     
   1.572,   -0.008,    1.572,   -0.051
   1.579,   -0.006,    1.579,   -0.051
   1.585,   -0.007,    1.585,   -0.051
   1.592,   -0.009,    1.592,   -0.051
   1.599,   -0.009,    1.599,   -0.051
   1.605,   -0.010,    1.605,   -0.051
   1.612,   -0.007,    1.612,   -0.050
   1.618,   -0.008,    1.618,   -0.050
   1.625,   -0.009,    1.625,   -0.050
   1.632,   -0.008,    1.632,   -0.050
   1.638,   -0.008,    1.638,   -0.050
   1.645,   -0.007,    1.645,   -0.050
   1.652,   -0.007,    1.652,   -0.050
   1.658,   -0.008,    1.658,   -0.050
   1.665,   -0.009,    1.665,   -0.050
   1.672,   -0.008,    1.672,   -0.050
   1.678,   -0.008,    1.678,   -0.050
   1.685,   -0.004,    1.685,   -0.050
   1.692,   -0.008,    1.692,   -0.050
   1.698,   -0.005,    1.698,   -0.050
   1.705,   -0.009,    1.705,   -0.050
   1.712,   -0.004,    1.712,   -0.049
   1.718,   -0.009,    1.718,   -0.049
   1.725,   -0.009,    1.725,   -0.049
   1.732,   -0.007,    1.732,   -0.049
   1.738,   -0.008,    1.738,   -0.049
   1.745,   -0.007,    1.745,   -0.049
   1.752,   -0.005,    1.752,   -0.049
   1.758,   -0.007,    1.758,   -0.049
   1.765,   -0.007,    1.765,   -0.049
   1.772,   -0.009,    1.772,   -0.049
   1.778,   -0.008,    1.778,   -0.049
   1.785,   -0.009,    1.785,   -0.049
   1.792,   -0.008,    1.792,   -0.048
   1.798,   -0.009,    1.798,   -0.048
   1.805,   -0.010,    1.805,   -0.048
   1.812,   -0.003,    1.812,   -0.048
   1.818,   -0.007,    1.818,   -0.048
   1.825,   -0.004,    1.825,   -0.048
   1.831,   -0.002,    1.831,   -0.048
   1.838,   -0.007,    1.838,   -0.048
   1.845,   -0.009,    1.845,   -0.048
   1.851,   -0.006,    1.851,   -0.048
   1.858,   -0.008,    1.858,   -0.048
   1.865,   -0.007,    1.865,   -0.048
   1.871,   -0.008,    1.871,   -0.048
   1.878,   -0.010,    1.878,   -0.047
   1.885,   -0.006,    1.885,   -0.047
   1.891,   -0.010,    1.891,   -0.047
   1.898,   -0.008,    1.898,   -0.047
   1.905,   -0.007,    1.905,   -0.047
   1.911,   -0.004,    1.911,   -0.047
   1.918,   -0.008,    1.918,   -0.047
   1.925,   -0.008,    1.925,   -0.047
   1.931,   -0.006,    1.931,   -0.047
   1.938,   -0.008,    1.938,   -0.047
   1.945,   -0.010,    1.945,   -0.047
   1.951,   -0.011,    1.951,   -0.046
   1.958,   -0.005,    1.958,   -0.046
   1.964,   -0.005,    1.964,   -0.046
   1.971,   -0.005,    1.971,   -0.046
   1.978,   -0.008,    1.978,   -0.046
   1.984,   -0.008,    1.984,   -0.046
   1.991,   -0.010,    1.991,   -0.046
   1.998,   -0.007,    1.998,   -0.046
   2.005,   -0.006,    2.005,   -0.046
   2.011,   -0.007,    2.011,   -0.046
   2.018,   -0.007,    2.018,   -0.046
   2.024,   -0.007,    2.024,   -0.046
   2.031,   -0.007,    2.031,   -0.046
   2.038,   -0.005,    2.038,   -0.045
   2.044,   -0.011,    2.044,   -0.045
   2.051,   -0.008,    2.051,   -0.045
   2.058,   -0.008,    2.058,   -0.045
   2.064,   -0.009,    2.064,   -0.045
   2.071,   -0.006,    2.071,   -0.045
   2.078,   -0.011,    2.078,   -0.045
   2.084,   -0.008,    2.084,   -0.045
   2.091,   -0.004,    2.091,   -0.045
   2.098,   -0.008,    2.098,   -0.045
   2.104,   -0.008,    2.104,   -0.045
   2.111,   -0.008,    2.111,   -0.045
   2.118,   -0.005,    2.118,   -0.044
   2.124,   -0.007,    2.124,   -0.044
   2.131,   -0.006,    2.131,   -0.044
   2.138,   -0.007,    2.138,   -0.044
   2.144,   -0.010,    2.144,   -0.044
   2.151,   -0.011,    2.151,   -0.044
   2.158,   -0.009,    2.158,   -0.044
   2.164,   -0.007,    2.164,   -0.044
   2.171,   -0.005,    2.171,   -0.044
   2.178,   -0.005,    2.178,   -0.044
   2.184,   -0.010,    2.184,   -0.044
   2.191,   -0.012,    2.191,   -0.044
   2.197,   -0.007,    2.197,   -0.044
   2.204,   -0.007,    2.204,   -0.043
   2.211,   -0.007,    2.211,   -0.043
   2.217,   -0.007,    2.217,   -0.043
   2.224,   -0.006,    2.224,   -0.043
   2.231,   -0.005,    2.231,   -0.043
   2.237,   -0.007,    2.237,   -0.043
   2.244,   -0.010,    2.244,   -0.043
   2.251,   -0.008,    2.251,   -0.043
   2.257,   -0.009,    2.257,   -0.043
   2.264,   -0.007,    2.264,   -0.043
   2.271,   -0.005,    2.271,   -0.043
   2.277,   -0.006,    2.277,   -0.043
   2.284,   -0.008,    2.284,   -0.043
   2.291,   -0.003,    2.291,   -0.043
   2.297,   -0.007,    2.297,   -0.042
   2.304,   -0.008,    2.304,   -0.042
   2.311,   -0.004,    2.311,   -0.042
   2.317,   -0.005,    2.317,   -0.042
   2.324,   -0.006,    2.324,   -0.042
   2.331,   -0.002,    2.331,   -0.042
   2.337,   -0.010,    2.337,   -0.042
   2.344,   -0.005,    2.344,   -0.042
   2.351,   -0.008,    2.351,   -0.042
   2.357,   -0.006,    2.357,   -0.042
   2.364,   -0.008,    2.364,   -0.042
   2.371,   -0.003,    2.371,   -0.042
   2.377,   -0.007,    2.377,   -0.042
   2.384,   -0.005,    2.384,   -0.041
   2.390,   -0.006,    2.390,   -0.041
   2.397,   -0.012,    2.397,   -0.041
   2.404,   -0.006,    2.404,   -0.041
   2.410,   -0.007,    2.410,   -0.041
   2.417,   -0.009,    2.417,   -0.041
   2.424,   -0.004,    2.424,   -0.041
   2.430,   -0.007,    2.430,   -0.041
   2.437,   -0.008,    2.437,   -0.041
   2.444,   -0.007,    2.444,   -0.041
   2.450,   -0.008,    2.450,   -0.041
   2.457,   -0.006,    2.457,   -0.041
   2.464,   -0.005,    2.464,   -0.040
   2.470,   -0.008,    2.470,   -0.040
   2.477,   -0.009,    2.477,   -0.040
