t1      ,ch1     ,t2      ,ch2     
   2.474,    0.014,    2.474,   -0.005
   2.490,    0.008,    2.490,   -0.006
   2.507,    0.007,    2.507,   -0.005
   2.523,    0.013,    2.523,   -0.004
   2.539,    0.007,    2.539,   -0.006
   2.556,    0.012,    2.556,   -0.004
   2.572,    0.008,    2.572,   -0.006
   2.589,    0.008,    2.589,   -0.006
   2.605,    0.008,    2.605,   -0.005
   2.621,    0.011,    2.621,   -0.005
   2.638,    0.010,    2.638,   -0.005
   2.654,    0.010,    2.654,   -0.005
   2.671,    0.010,    2.671,   -0.006
   2.687,    0.013,    2.687,   -0.005
   2.703,    0.009,    2.703,   -0.005
   2.720,    0.016,    2.720,   -0.005
   2.736,    0.008,    2.736,   -0.005
   2.752,    0.008,    2.752,   -0.005
   2.769,    0.012,    2.769,   -0.004
   2.785,    0.009,    2.785,   -0.006
   2.802,    0.008,    2.802,   -0.005
   2.818,    0.010,    2.818,   -0.005
   2.834,    0.012,    2.834,   -0.005
   2.851,    0.009,    2.851,   -0.005
   2.867,    0.010,    2.867,   -0.005
   2.884,    0.011,    2.884,   -0.005
   2.900,    0.009,    2.900,   -0.005
   2.916,    0.009,    2.916,   -0.006
   2.933,    0.008,    2.933,   -0.005
   2.949,    0.008,    2.949,   -0.005
   2.966,    0.011,    2.966,   -0.005
   2.982,    0.009,    2.982,   -0.006
   2.998,    0.012,    2.998,   -0.005
   3.015,    0.012,    3.015,   -0.004
   3.031,    0.007,    3.031,   -0.006
   3.047,    0.009,    3.047,   -0.005
   3.064,    0.010,    3.064,   -0.005
   3.080,    0.010,    3.080,   -0.005
   3.097,    0.010,    3.097,   -0.005
   3.113,    0.010,    3.113,   -0.006
   3.129,    0.011,    3.129,   -0.005
   3.146,    0.009,    3.146,   -0.005
   3.162,    0.010,    3.162,   -0.005
   3.179,    0.009,    3.179,   -0.005
   3.195,    0.008,    3.195,   -0.006
   3.211,    0.012,    3.211,   -0.005
   3.228,    0.011,    3.228,   -0.005
   3.244,    0.008,    3.244,   -0.006
   3.260,    0.012,    3.260,   -0.005
   3.277,    0.009,    3.277,   -0.005
   3.293,    0.011,    3.293,   -0.005
   3.310,    0.011,    3.310,   -0.005
   3.326,    0.007,    3.326,   -0.006
   3.342,    0.013,    3.342,   -0.005
   3.359,    0.011,    3.359,   -0.005
   3.375,    0.007,    3.375,   -0.006
   3.392,    0.010,    3.392,   -0.005
   3.408,    0.009,    3.408,   -0.006
   3.424,    0.010,    3.424,   -0.005
   3.441,    0.009,    3.441,   -0.005
   3.457,    0.008,    3.457,   -0.006
   3.473,    0.013,    3.473,   -0.004
   3.490,    0.010,    3.490,   -0.005
   3.506,    0.010,    3.506,   -0.005
   3.523,    0.012,    3.523,   -0.004
   3.539,    0.011,    3.539,   -0.005
   3.555,    0.009,    3.555,   -0.005
   3.572,    0.015,    3.572,   -0.004
   3.588,    0.011,    3.588,   -0.005
   3.604,    0.010,    3.604,   -0.005
   3.621,    0.007,    3.621,   -0.006
   3.637,    0.011,    3.637,   -0.005
   3.654,    0.011,    3.654,   -0.004
   3.670,    0.009,    3.670,   -0.005
   3.686,    0.011,    3.686,   -0.005
   3.703,    0.007,    3.703,   -0.006
   3.719,    0.009,    3.719,   -0.006
   3.736,    0.011,    3.736,   -0.005
   3.752,    0.008,    3.752,   -0.005
   3.768,    0.007,    3.768,   -0.006
