t1      ,ch1     ,t2      ,ch2     
  -6.398,    0.100,   -6.398,    0.103
  -6.373,    0.100,   -6.373,    0.103
  -6.349,    0.102,   -6.349,    0.106
  -6.324,    0.103,   -6.324,    0.107
  -6.300,    0.103,   -6.300,    0.106
  -6.275,    0.102,   -6.275,    0.106
  -6.250,    0.101,   -6.250,    0.105
  -6.226,    0.101,   -6.226,    0.105
  -6.201,    0.100,   -6.201,    0.104
  -6.177,    0.100,   -6.177,    0.103
  -6.152,    0.099,   -6.152,    0.102
  -6.128,    0.098,   -6.128,    0.102
  -6.103,    0.098,   -6.103,    0.101
  -6.079,    0.097,   -6.079,    0.100
  -6.054,    0.096,   -6.054,    0.100
  -6.029,    0.095,   -6.029,    0.099
  -6.005,    0.095,   -6.005,    0.099
  -5.980,    0.094,   -5.980,    0.098
  -5.956,    0.094,   -5.956,    0.097
  -5.931,    0.093,   -5.931,    0.096
  -5.906,    0.092,   -5.906,    0.096
  -5.882,    0.092,   -5.882,    0.095
  -5.857,    0.091,   -5.857,    0.095
  -5.833,    0.090,   -5.833,    0.094
  -5.808,    0.090,   -5.808,    0.093
  -5.784,    0.089,   -5.784,    0.093
  -5.759,    0.088,   -5.759,    0.092
  -5.734,    0.087,   -5.734,    0.091
  -5.710,    0.087,   -5.710,    0.091
  -5.685,    0.086,   -5.685,    0.090
  -5.661,    0.086,   -5.661,    0.089
  -5.636,    0.085,   -5.636,    0.089
  -5.612,    0.085,   -5.612,    0.088
  -5.587,    0.084,   -5.587,    0.088
  -5.562,    0.083,   -5.562,    0.087
  -5.538,    0.083,   -5.538,    0.086
  -5.513,    0.082,   -5.513,    0.086
  -5.489,    0.081,   -5.489,    0.085
  -5.464,    0.081,   -5.464,    0.084
  -5.439,    0.080,   -5.439,    0.084
  -5.415,    0.079,   -5.415,    0.083
  -5.390,    0.079,   -5.390,    0.083
  -5.366,    0.078,   -5.366,    0.082
  -5.341,    0.078,   -5.341,    0.082
  -5.317,    0.077,   -5.317,    0.081
  -5.292,    0.077,   -5.292,    0.081
  -5.268,    0.077,   -5.268,    0.081
  -5.243,    0.076,   -5.243,    0.080
  -5.218,    0.076,   -5.218,    0.080
  -5.194,    0.075,   -5.194,    0.079
  -5.169,    0.075,   -5.169,    0.079
  -5.145,    0.075,   -5.145,    0.079
  -5.120,    0.074,   -5.120,    0.079
  -5.095,    0.074,   -5.095,    0.078
  -5.071,    0.074,   -5.071,    0.078
  -5.046,    0.074,   -5.046,    0.078
  -5.022,    0.074,   -5.022,    0.078
  -4.997,    0.074,   -4.997,    0.078
  -4.973,    0.074,   -4.973,    0.078
  -4.948,    0.074,   -4.948,    0.078
  -4.923,    0.073,   -4.923,    0.078
  -4.899,    0.073,   -4.899,    0.077
  -4.874,    0.073,   -4.874,    0.077
  -4.850,    0.073,   -4.850,    0.077
  -4.825,    0.073,   -4.825,    0.077
  -4.801,    0.073,   -4.801,    0.077
  -4.776,    0.073,   -4.776,    0.077
  -4.751,    0.073,   -4.751,    0.077
  -4.727,    0.073,   -4.727,    0.077
  -4.702,    0.073,   -4.702,    0.077
  -4.678,    0.073,   -4.678,    0.077
  -4.653,    0.073,   -4.653,    0.077
  -4.628,    0.073,   -4.628,    0.077
  -4.604,    0.073,   -4.604,    0.077
  -4.579,    0.073,   -4.579,    0.078
  -4.555,    0.073,   -4.555,    0.078
  -4.530,    0.073,   -4.530,    0.078
  -4.506,    0.074,   -4.506,    0.078
  -4.481,    0.074,   -4.481,    0.078
  -4.456,    0.074,   -4.456,    0.078
  -4.432,    0.074,   -4.432,    0.078
  -4.407,    0.074,   -4.407,    0.078
  -4.383,    0.075,   -4.383,    0.079
  -4.358,    0.075,   -4.358,    0.079
  -4.334,    0.075,   -4.334,    0.079
  -4.309,    0.075,   -4.309,    0.079
  -4.284,    0.075,   -4.284,    0.079
  -4.260,    0.075,   -4.260,    0.080
  -4.235,    0.076,   -4.235,    0.080
  -4.211,    0.076,   -4.211,    0.080
  -4.186,    0.076,   -4.186,    0.081
  -4.162,    0.077,   -4.162,    0.081
  -4.137,    0.077,   -4.137,    0.081
  -4.112,    0.078,   -4.112,    0.082
  -4.088,    0.078,   -4.088,    0.082
  -4.063,    0.078,   -4.063,    0.082
  -4.039,    0.079,   -4.039,    0.083
  -4.014,    0.079,   -4.014,    0.083
  -3.990,    0.079,   -3.990,    0.083
  -3.965,    0.080,   -3.965,    0.084
  -3.940,    0.080,   -3.940,    0.084
  -3.916,    0.080,   -3.916,    0.084
  -3.891,    0.081,   -3.891,    0.084
  -3.867,    0.081,   -3.867,    0.085
  -3.842,    0.081,   -3.842,    0.085
  -3.817,    0.082,   -3.817,    0.086
  -3.793,    0.082,   -3.793,    0.086
  -3.768,    0.083,   -3.768,    0.087
  -3.744,    0.083,   -3.744,    0.087
  -3.719,    0.084,   -3.719,    0.087
  -3.695,    0.084,   -3.695,    0.088
  -3.670,    0.084,   -3.670,    0.088
  -3.645,    0.085,   -3.645,    0.089
  -3.621,    0.085,   -3.621,    0.089
  -3.596,    0.086,   -3.596,    0.089
  -3.572,    0.086,   -3.572,    0.090
  -3.547,    0.087,   -3.547,    0.090
  -3.523,    0.087,   -3.523,    0.091
  -3.498,    0.088,   -3.498,    0.092
  -3.473,    0.088,   -3.473,    0.092
  -3.449,    0.089,   -3.449,    0.092
  -3.424,    0.089,   -3.424,    0.093
  -3.400,    0.090,   -3.400,    0.093
  -3.375,    0.090,   -3.375,    0.094
  -3.350,    0.091,   -3.350,    0.094
  -3.326,    0.091,   -3.326,    0.095
  -3.301,    0.092,   -3.301,    0.095
  -3.277,    0.092,   -3.277,    0.096
  -3.252,    0.093,   -3.252,    0.096
  -3.228,    0.093,   -3.228,    0.097
  -3.203,    0.094,   -3.203,    0.097
  -3.179,    0.094,   -3.179,    0.098
  -3.154,    0.095,   -3.154,    0.098
  -3.129,    0.095,   -3.129,    0.099
  -3.105,    0.096,   -3.105,    0.100
  -3.080,    0.097,   -3.080,    0.100
  -3.056,    0.097,   -3.056,    0.101
  -3.031,    0.098,   -3.031,    0.101
  -3.006,    0.098,   -3.006,    0.102
  -2.982,    0.099,   -2.982,    0.102
  -2.957,    0.099,   -2.957,    0.103
  -2.933,    0.100,   -2.933,    0.104
  -2.908,    0.101,   -2.908,    0.104
  -2.884,    0.101,   -2.884,    0.104
  -2.859,    0.102,   -2.859,    0.105
  -2.834,    0.102,   -2.834,    0.106
  -2.810,    0.103,   -2.810,    0.106
  -2.785,    0.103,   -2.785,    0.107
  -2.761,    0.104,   -2.761,    0.107
  -2.736,    0.104,   -2.736,    0.108
  -2.712,    0.105,   -2.712,    0.108
  -2.687,    0.106,   -2.687,    0.109
  -2.662,    0.106,   -2.662,    0.110
  -2.638,    0.107,   -2.638,    0.110
  -2.613,    0.108,   -2.613,    0.111
  -2.589,    0.108,   -2.589,    0.112
  -2.564,    0.109,   -2.564,    0.112
  -2.539,    0.109,   -2.539,    0.112
  -2.515,    0.108,   -2.515,    0.112
  -2.490,    0.106,   -2.490,    0.110
  -2.466,    0.104,   -2.466,    0.108
  -2.441,    0.105,   -2.441,    0.108
  -2.417,    0.107,   -2.417,    0.111
  -2.392,    0.110,   -2.392,    0.114
  -2.368,    0.112,   -2.368,    0.115
  -2.343,    0.113,   -2.343,    0.116
  -2.318,    0.113,   -2.318,    0.117
  -2.294,    0.115,   -2.294,    0.118
  -2.269,    0.116,   -2.269,    0.119
  -2.245,    0.117,   -2.245,    0.120
  -2.220,    0.118,   -2.220,    0.121
  -2.196,    0.118,   -2.196,    0.121
  -2.171,    0.118,   -2.171,    0.121
  -2.146,    0.116,   -2.146,    0.119
  -2.122,    0.110,   -2.122,    0.113
  -2.097,    0.102,   -2.097,    0.106
  -2.073,    0.098,   -2.073,    0.102
  -2.048,    0.102,   -2.048,    0.105
  -2.023,    0.109,   -2.023,    0.112
  -1.999,    0.116,   -1.999,    0.119
  -1.974,    0.120,   -1.974,    0.123
  -1.950,    0.124,   -1.950,    0.127
  -1.925,    0.125,   -1.925,    0.128
  -1.901,    0.126,   -1.901,    0.129
  -1.876,    0.127,   -1.876,    0.130
  -1.851,    0.128,   -1.851,    0.131
  -1.827,    0.128,   -1.827,    0.131
  -1.802,    0.129,   -1.802,    0.132
  -1.778,    0.129,   -1.778,    0.132
  -1.753,    0.127,   -1.753,    0.130
  -1.728,    0.122,   -1.728,    0.125
  -1.704,    0.112,   -1.704,    0.116
  -1.679,    0.103,   -1.679,    0.107
  -1.655,    0.100,   -1.655,    0.103
  -1.630,    0.104,   -1.630,    0.107
  -1.606,    0.114,   -1.606,    0.117
  -1.581,    0.122,   -1.581,    0.125
  -1.556,    0.124,   -1.556,    0.128
  -1.532,    0.128,   -1.532,    0.131
  -1.507,    0.131,   -1.507,    0.134
  -1.483,    0.131,   -1.483,    0.133
  -1.458,    0.129,   -1.458,    0.131
  -1.434,    0.130,   -1.434,    0.132
  -1.409,    0.134,   -1.409,    0.137
  -1.384,    0.139,   -1.384,    0.141
  -1.360,    0.141,   -1.360,    0.143
  -1.335,    0.142,   -1.335,    0.145
  -1.311,    0.143,   -1.311,    0.146
  -1.286,    0.144,   -1.286,    0.146
  -1.262,    0.145,   -1.262,    0.147
  -1.237,    0.145,   -1.237,    0.148
  -1.212,    0.146,   -1.212,    0.148
  -1.188,    0.147,   -1.188,    0.149
  -1.163,    0.148,   -1.163,    0.150
  -1.139,    0.149,   -1.139,    0.151
  -1.114,    0.149,   -1.114,    0.152
  -1.089,    0.150,   -1.089,    0.152
  -1.065,    0.151,   -1.065,    0.153
  -1.040,    0.151,   -1.040,    0.154
  -1.016,    0.152,   -1.016,    0.154
  -0.991,    0.153,   -0.991,    0.155
  -0.967,    0.154,   -0.967,    0.156
  -0.942,    0.154,   -0.942,    0.157
  -0.917,    0.155,   -0.917,    0.157
  -0.893,    0.156,   -0.893,    0.158
  -0.868,    0.156,   -0.868,    0.159
  -0.844,    0.157,   -0.844,    0.159
  -0.819,    0.158,   -0.819,    0.160
  -0.795,    0.159,   -0.795,    0.161
  -0.770,    0.159,   -0.770,    0.162
  -0.746,    0.160,   -0.746,    0.162
  -0.721,    0.161,   -0.721,    0.163
  -0.696,    0.162,   -0.696,    0.163
  -0.672,    0.162,   -0.672,    0.164
  -0.647,    0.163,   -0.647,    0.165
  -0.623,    0.164,   -0.623,    0.166
  -0.598,    0.164,   -0.598,    0.166
  -0.573,    0.165,   -0.573,    0.167
  -0.549,    0.166,   -0.549,    0.168
  -0.524,    0.167,   -0.524,    0.168
  -0.500,    0.168,   -0.500,    0.169
  -0.475,    0.168,   -0.475,    0.170
  -0.451,    0.169,   -0.451,    0.171
  -0.426,    0.170,   -0.426,    0.171
  -0.401,    0.171,   -0.401,    0.172
  -0.377,    0.171,   -0.377,    0.173
  -0.352,    0.172,   -0.352,    0.173
  -0.328,    0.172,   -0.328,    0.174
  -0.303,    0.173,   -0.303,    0.175
  -0.279,    0.174,   -0.279,    0.176
  -0.254,    0.175,   -0.254,    0.176
  -0.229,    0.175,   -0.229,    0.177
  -0.205,    0.176,   -0.205,    0.178
  -0.180,    0.177,   -0.180,    0.178
  -0.156,    0.178,   -0.156,    0.179
  -0.131,    0.178,   -0.131,    0.180
  -0.106,    0.179,   -0.106,    0.180
  -0.082,    0.180,   -0.082,    0.181
  -0.057,    0.180,   -0.057,    0.182
  -0.033,    0.181,   -0.033,    0.183
  -0.008,    0.182,   -0.008,    0.183
   0.016,    0.183,    0.016,    0.184
   0.041,    0.184,    0.041,    0.185
   0.066,    0.184,    0.066,    0.186
   0.090,    0.185,    0.090,    0.186
   0.115,    0.186,    0.115,    0.187
   0.139,    0.187,    0.139,    0.188
   0.164,    0.187,    0.164,    0.189
   0.188,    0.188,    0.188,    0.189
   0.213,    0.189,    0.213,    0.190
   0.238,    0.190,    0.238,    0.191
   0.262,    0.190,    0.262,    0.191
   0.287,    0.191,    0.287,    0.192
   0.311,    0.192,    0.311,    0.193
   0.336,    0.193,    0.336,    0.194
   0.360,    0.194,    0.360,    0.195
   0.385,    0.194,    0.385,    0.195
   0.410,    0.195,    0.410,    0.196
   0.434,    0.196,    0.434,    0.197
   0.459,    0.197,    0.459,    0.197
   0.483,    0.197,    0.483,    0.198
   0.508,    0.198,    0.508,    0.199
   0.532,    0.199,    0.532,    0.200
   0.557,    0.200,    0.557,    0.201
   0.582,    0.200,    0.582,    0.201
   0.606,    0.201,    0.606,    0.202
   0.631,    0.202,    0.631,    0.203
   0.655,    0.203,    0.655,    0.203
   0.680,    0.203,    0.680,    0.204
   0.705,    0.204,    0.705,    0.205
   0.729,    0.205,    0.729,    0.206
   0.754,    0.205,    0.754,    0.206
   0.778,    0.206,    0.778,    0.207
   0.803,    0.207,    0.803,    0.208
   0.827,    0.208,    0.827,    0.208
   0.852,    0.209,    0.852,    0.209
   0.876,    0.210,    0.876,    0.210
   0.901,    0.210,    0.901,    0.211
   0.926,    0.211,    0.926,    0.211
   0.950,    0.211,    0.950,    0.212
   0.975,    0.212,    0.975,    0.213
   0.999,    0.213,    0.999,    0.213
   1.024,    0.214,    1.024,    0.214
   1.049,    0.215,    1.049,    0.215
   1.073,    0.215,    1.073,    0.216
   1.098,    0.216,    1.098,    0.216
   1.122,    0.217,    1.122,    0.217
   1.147,    0.218,    1.147,    0.218
   1.171,    0.218,    1.171,    0.218
   1.196,    0.219,    1.196,    0.219
   1.221,    0.220,    1.221,    0.220
   1.245,    0.220,    1.245,    0.220
   1.270,    0.221,    1.270,    0.221
   1.294,    0.222,    1.294,    0.222
   1.319,    0.222,    1.319,    0.223
   1.343,    0.223,    1.343,    0.223
   1.368,    0.224,    1.368,    0.224
   1.393,    0.225,    1.393,    0.225
   1.417,    0.225,    1.417,    0.225
   1.442,    0.226,    1.442,    0.226
   1.466,    0.227,    1.466,    0.227
   1.491,    0.228,    1.491,    0.227
   1.516,    0.228,    1.516,    0.228
   1.540,    0.229,    1.540,    0.229
   1.565,    0.230,    1.565,    0.230
   1.589,    0.230,    1.589,    0.230
   1.614,    0.231,    1.614,    0.231
   1.638,    0.232,    1.638,    0.232
   1.663,    0.232,    1.663,    0.232
   1.688,    0.233,    1.688,    0.233
   1.712,    0.234,    1.712,    0.233
   1.737,    0.234,    1.737,    0.234
   1.761,    0.235,    1.761,    0.235
   1.786,    0.236,    1.786,    0.236
   1.810,    0.237,    1.810,    0.237
   1.835,    0.238,    1.835,    0.237
   1.860,    0.238,    1.860,    0.238
   1.884,    0.239,    1.884,    0.238
   1.909,    0.240,    1.909,    0.239
   1.933,    0.240,    1.933,    0.240
   1.958,    0.241,    1.958,    0.241
   1.982,    0.242,    1.982,    0.241
   2.007,    0.242,    2.007,    0.242
   2.032,    0.243,    2.032,    0.242
   2.056,    0.244,    2.056,    0.243
   2.081,    0.245,    2.081,    0.244
   2.105,    0.245,    2.105,    0.245
   2.130,    0.246,    2.130,    0.245
   2.155,    0.246,    2.155,    0.246
   2.179,    0.247,    2.179,    0.247
   2.204,    0.248,    2.204,    0.247
   2.228,    0.248,    2.228,    0.248
   2.253,    0.249,    2.253,    0.249
   2.277,    0.250,    2.277,    0.249
   2.302,    0.250,    2.302,    0.250
   2.326,    0.251,    2.326,    0.250
   2.351,    0.252,    2.351,    0.251
   2.376,    0.253,    2.376,    0.252
   2.400,    0.253,    2.400,    0.253
   2.425,    0.254,    2.425,    0.253
   2.449,    0.254,    2.449,    0.254
   2.474,    0.255,    2.474,    0.254
   2.499,    0.256,    2.499,    0.255
   2.523,    0.257,    2.523,    0.256
   2.548,    0.257,    2.548,    0.256
   2.572,    0.258,    2.572,    0.257
   2.597,    0.258,    2.597,    0.258
   2.621,    0.259,    2.621,    0.259
   2.646,    0.260,    2.646,    0.260
   2.671,    0.261,    2.671,    0.260
   2.695,    0.262,    2.695,    0.261
   2.720,    0.263,    2.720,    0.262
   2.744,    0.263,    2.744,    0.262
   2.769,    0.264,    2.769,    0.263
   2.793,    0.264,    2.793,    0.263
   2.818,    0.265,    2.818,    0.264
   2.843,    0.266,    2.843,    0.265
   2.867,    0.266,    2.867,    0.265
   2.892,    0.267,    2.892,    0.266
   2.916,    0.267,    2.916,    0.266
   2.941,    0.268,    2.941,    0.267
   2.966,    0.269,    2.966,    0.268
   2.990,    0.270,    2.990,    0.269
   3.015,    0.271,    3.015,    0.269
   3.039,    0.271,    3.039,    0.270
   3.064,    0.272,    3.064,    0.270
   3.088,    0.272,    3.088,    0.271
   3.113,    0.273,    3.113,    0.272
   3.138,    0.274,    3.138,    0.273
   3.162,    0.274,    3.162,    0.273
   3.187,    0.275,    3.187,    0.274
   3.211,    0.276,    3.211,    0.274
   3.236,    0.276,    3.236,    0.275
   3.260,    0.277,    3.260,    0.275
   3.285,    0.278,    3.285,    0.276
   3.310,    0.278,    3.310,    0.277
   3.334,    0.279,    3.334,    0.278
   3.359,    0.280,    3.359,    0.278
   3.383,    0.280,    3.383,    0.279
   3.408,    0.281,    3.408,    0.279
   3.432,    0.282,    3.432,    0.280
   3.457,    0.282,    3.457,    0.281
   3.482,    0.283,    3.482,    0.281
   3.506,    0.283,    3.506,    0.282
   3.531,    0.284,    3.531,    0.282
   3.555,    0.285,    3.555,    0.283
   3.580,    0.285,    3.580,    0.284
   3.604,    0.286,    3.604,    0.284
   3.629,    0.287,    3.629,    0.285
   3.654,    0.287,    3.654,    0.286
   3.678,    0.289,    3.678,    0.287
   3.703,    0.289,    3.703,    0.287
   3.727,    0.290,    3.727,    0.288
   3.752,    0.290,    3.752,    0.289
   3.776,    0.291,    3.776,    0.289
   3.801,    0.292,    3.801,    0.290
   3.826,    0.292,    3.826,    0.290
   3.850,    0.293,    3.850,    0.291
   3.875,    0.294,    3.875,    0.291
   3.899,    0.295,    3.899,    0.292
   3.924,    0.295,    3.924,    0.293
   3.949,    0.296,    3.949,    0.294
   3.973,    0.296,    3.973,    0.294
   3.998,    0.297,    3.998,    0.295
   4.022,    0.298,    4.022,    0.296
   4.047,    0.298,    4.047,    0.296
   4.071,    0.299,    4.071,    0.297
   4.096,    0.300,    4.096,    0.297
   4.121,    0.300,    4.121,    0.298
   4.145,    0.301,    4.145,    0.298
   4.170,    0.302,    4.170,    0.299
   4.194,    0.302,    4.194,    0.300
   4.219,    0.303,    4.219,    0.300
   4.244,    0.303,    4.244,    0.301
   4.268,    0.304,    4.268,    0.302
   4.293,    0.305,    4.293,    0.303
   4.317,    0.306,    4.317,    0.303
   4.342,    0.306,    4.342,    0.304
   4.366,    0.307,    4.366,    0.304
   4.391,    0.308,    4.391,    0.305
